,OA,Paycheck Mean Income,Mean Net Disposable Income,Mean Gross Disposable Income,Mean Net Disposable Income Band,"CACI_Essential_Outgoings - Income tax, NI","CACI_Essential_Outgoings - Mortgage, social rent, private rent","CACI_Essential_Outgoings - Council tax, utilities, water, structure insurance, NI domestic rates","CACI_Essential_Outgoings - Food, clothing","CACI_Essential_Outgoings - Childcare, student loans, pension",CACI_Essential_Outgoings - Travel to work,Mean over all households in an OA: Income tax - Income tax,Mean over all households in an OA: Income tax - National Insurance,Mean over all households in an OA: Income tax - Mortgage,Mean over all households in an OA: Income tax - Private rent,Mean over all households in an OA: Income tax - Social rent,Mean over all households in an OA: Income tax - Council tax,Mean over all households in an OA: Income tax - Water bills,"Mean over all households in an OA: Income tax - Gas, electricity, oil",Mean over all households in an OA: Income tax - Structure insurance,Mean over all households in an OA: Income tax - Food costs,Mean over all households in an OA: Income tax - Clothing costs,Mean over all households in an OA: Income tax - Childcare,Mean over all households in an OA: Income tax - Student loan,Mean over all households in an OA: Income tax - Pension,Mean over all households in an OA: Income tax - Travel to work,Mean over relevant households in an OA - Income tax,Mean over relevant households in an OA - National Insurance,Mean over relevant households in an OA - Mortgage,Mean over relevant households in an OA - Private rent,Mean over relevant households in an OA - Social rent,Mean over relevant households in an OA - Council tax,Mean over relevant households in an OA - Water bills,"Mean over relevant households in an OA - Gas, electricity, oil",Mean over relevant households in an OA - Structure insurance,Mean over relevant households in an OA - Food costs,Mean over relevant households in an OA - Clothing costs,Mean over relevant households in an OA - Childcare,Mean over relevant households in an OA - Student loan,Mean over relevant households in an OA - Pension,Mean over relevant households in an OA - Travel to work,Proportion of households paying % - Income tax,Proportion of households paying % - National Insurance,Proportion of households paying % - Mortgage,Proportion of households paying % - Private rent,Proportion of households paying % - Social rent,Proportion of households paying % - Council tax,Proportion of households paying % - Water bills,"Proportion of households paying % - Gas, electricity, oil",Proportion of households paying % - Structure insurance,Proportion of households paying % - Food costs,Proportion of households paying % - Clothing costs,Proportion of households paying % - Childcare,Proportion of households paying % - Student loan,Proportion of households paying % - Pension,Proportion of households paying % - Travel to work
513,E00023953,54.675,8.042,42.165,8.75,12.51,24.018,1.785,5.295,2.503,0.528,8.158,4.35,0.172,22.68,1.16,0.52,0.592,0.6,0.07,3.642,1.652,0.9,0.218,1.388,0.528,8.158,4.918,6.75,32.875,1.935,0.522,0.592,0.6,0.35,3.642,1.652,1.102,1.628,1.648,0.633,100.0,88.25,1.5,70.5,15.0,74.5,100.0,100.0,14.5,100.0,100.0,60.75,11.0,63.0,63.0
514,E00023954,57.18,19.846,43.676,18.5,13.506,12.78,2.434,5.06,2.958,0.594,9.308,4.198,0.928,10.444,1.408,0.844,0.646,0.564,0.378,3.414,1.646,0.952,0.224,1.782,0.594,9.308,5.06,8.1,29.078,1.516,0.858,0.646,0.564,0.616,3.414,1.646,1.6,2.304,2.19,0.742,100.0,82.8,7.0,32.2,18.6,98.2,100.0,100.0,49.2,100.0,100.0,63.2,7.6,80.6,80.6
515,E00023955,41.631,5.637,32.383,6.25,9.249,18.029,1.825,4.134,2.329,0.429,6.021,3.227,0.214,16.246,1.571,0.729,0.554,0.481,0.059,2.915,1.217,0.761,0.164,1.402,0.429,6.029,3.595,3.249,20.676,3.244,0.741,0.554,0.481,0.161,2.915,1.217,0.984,0.954,1.602,0.504,99.812,87.688,2.625,66.125,21.062,98.312,100.0,100.0,12.875,100.0,100.0,78.938,11.25,85.375,85.562
516,E00023956,39.422,14.023,31.559,13.611,7.864,9.982,1.794,3.951,1.503,0.307,5.529,2.334,0.177,5.494,4.311,0.531,0.633,0.476,0.152,2.877,1.076,0.484,0.098,0.92,0.307,5.529,3.417,4.5,12.604,4.952,0.569,0.633,0.476,0.243,2.877,1.076,1.007,1.341,1.52,0.533,100.0,65.0,1.444,23.556,57.0,93.222,100.0,100.0,19.556,100.0,100.0,51.444,7.111,57.556,57.556
517,E00023957,44.173,5.525,34.727,6.591,9.445,20.321,1.912,4.331,2.266,0.372,6.3,3.147,0.251,19.243,0.826,0.748,0.599,0.508,0.055,3.078,1.253,0.789,0.159,1.316,0.372,6.3,3.884,2.991,23.021,2.306,0.814,0.599,0.508,0.203,3.078,1.253,0.95,1.249,1.71,0.482,100.0,83.636,2.455,76.727,11.182,93.727,100.0,100.0,12.091,100.0,100.0,73.455,9.273,77.273,77.273
518,E00023958,28.267,11.552,24.157,11.667,4.112,6.835,1.178,3.31,1.0,0.28,2.988,1.123,0.0,0.0,6.835,0.307,0.452,0.423,0.0,2.545,0.763,0.478,0.003,0.52,0.28,2.988,2.635,0.0,0.0,6.835,0.308,0.452,0.423,0.0,2.545,0.763,1.372,0.085,1.237,0.668,100.0,42.333,0.0,0.0,100.0,99.167,100.0,100.0,0.0,100.0,100.0,34.667,0.667,41.667,41.667
519,E00023959,38.95,9.915,31.822,10.625,7.127,13.11,1.746,4.375,2.14,0.535,4.68,2.451,0.249,8.644,4.215,0.648,0.528,0.532,0.04,3.224,1.15,0.916,0.136,1.089,0.535,4.695,3.44,4.884,17.941,5.47,0.66,0.528,0.532,0.224,3.224,1.15,1.522,0.878,1.582,0.831,99.5,67.25,1.875,29.625,57.875,98.0,100.0,100.0,12.5,100.0,100.0,56.625,7.625,65.0,65.25
520,E00023960,32.014,8.863,26.756,9.286,5.258,9.614,1.703,4.186,1.831,0.559,3.306,1.951,0.181,4.939,4.494,0.679,0.478,0.525,0.019,3.176,1.01,0.919,0.025,0.889,0.559,3.328,2.724,4.664,15.11,6.161,0.699,0.478,0.525,0.199,3.176,1.01,1.741,0.374,1.293,0.828,99.286,68.286,1.643,26.429,66.071,97.643,100.0,100.0,7.643,100.0,100.0,54.429,2.714,65.571,65.929
521,E00023963,57.15,0.95,43.928,2.5,13.222,32.958,1.68,4.65,3.03,0.655,8.59,4.632,0.05,32.905,0.0,0.608,0.545,0.518,0.012,3.135,1.52,0.783,0.21,2.042,0.655,8.59,5.055,3.375,33.518,0.0,0.608,0.545,0.518,0.165,3.135,1.52,0.852,1.888,2.225,0.707,100.0,91.25,0.5,98.0,0.0,100.0,100.0,100.0,2.0,100.0,100.0,83.5,11.25,91.25,91.25
522,E00023964,60.533,12.487,45.833,12.5,14.7,22.767,1.893,4.753,3.253,0.687,9.693,5.007,0.29,22.477,0.0,0.597,0.58,0.52,0.193,3.153,1.6,0.84,0.233,2.18,0.687,9.693,5.387,13.5,32.77,0.0,0.597,0.58,0.52,0.54,3.153,1.6,0.967,2.38,2.353,0.74,100.0,93.0,2.0,69.667,0.0,99.667,100.0,100.0,30.333,100.0,100.0,87.0,10.0,92.333,92.333
