,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
57,E00024075,31.14,16.658,21.945,14.521,23.532,28.814,0.213,0.114,0.15,0.1,0.161,0.198,0.025,0.022,0.032,0.02,0.029,0.02,0.936,22.756,12.179,16.026,10.684,17.201,21.154,54.917,29.377,38.701,25.608,41.5,50.815,240.918,0.376,0.201,0.265,0.176,0.285,0.348,1.652
58,E00175198,221.828,131.878,130.123,129.747,165.743,250.659,1.653,0.983,0.97,0.967,1.235,1.868,0.195,0.191,0.207,0.197,0.219,0.186,7.676,21.535,12.806,12.637,12.598,16.089,24.336,391.203,232.573,229.478,228.815,292.295,442.048,1816.412,2.916,1.734,1.71,1.706,2.179,3.295,13.539
59,E00023728,110.927,68.416,60.367,66.109,75.342,145.332,0.954,0.588,0.519,0.569,0.648,1.25,0.112,0.114,0.111,0.116,0.115,0.125,4.528,21.069,12.986,11.462,12.566,14.311,27.606,195.625,120.655,106.46,116.586,132.869,256.299,928.494,1.683,1.038,0.916,1.003,1.143,2.205,7.987
60,E00024114,603.669,328.614,321.034,329.692,390.739,727.641,3.153,1.716,1.677,1.722,2.041,3.8,0.371,0.334,0.358,0.351,0.362,0.379,14.109,22.347,12.162,11.886,12.205,14.466,26.933,1064.597,579.525,566.158,581.426,689.085,1283.227,4764.019,5.56,3.027,2.957,3.037,3.599,6.702,24.881
61,E00023873,59.221,39.239,30.561,36.535,35.98,70.964,0.366,0.242,0.189,0.226,0.222,0.438,0.043,0.047,0.04,0.046,0.039,0.044,1.683,21.747,14.379,11.23,13.428,13.191,26.025,104.439,69.2,53.896,64.431,63.452,125.148,480.566,0.645,0.427,0.333,0.398,0.392,0.773,2.969
62,E00024059,169.051,101.462,89.64,101.364,108.41,215.975,1.174,0.705,0.623,0.704,0.753,1.5,0.138,0.137,0.133,0.144,0.134,0.149,5.459,21.506,12.914,11.412,12.896,13.794,27.478,298.129,178.933,158.084,178.76,191.186,380.881,1385.973,2.071,1.243,1.098,1.242,1.328,2.645,9.626
63,E00024115,658.19,345.503,334.11,318.359,396.368,781.79,3.096,1.625,1.572,1.497,1.864,3.677,0.364,0.316,0.336,0.305,0.331,0.366,13.331,23.224,12.19,11.792,11.229,13.982,27.582,1160.747,609.31,589.218,561.44,699.012,1378.721,4998.448,5.46,2.866,2.772,2.641,3.288,6.485,23.512
64,E00024030,189.914,89.133,88.201,89.384,105.702,220.191,0.564,0.265,0.262,0.266,0.314,0.654,0.066,0.052,0.056,0.054,0.056,0.065,2.325,24.258,11.398,11.269,11.441,13.505,28.129,334.922,157.19,155.546,157.633,186.41,388.317,1380.017,0.995,0.467,0.462,0.468,0.554,1.154,4.099
65,E00023567,163.833,100.606,81.303,93.232,101.019,201.67,1.13,0.694,0.561,0.643,0.697,1.391,0.133,0.135,0.12,0.131,0.124,0.139,5.116,22.088,13.565,10.966,12.568,13.624,27.189,288.927,177.423,143.381,164.419,178.151,355.654,1307.955,1.992,1.223,0.989,1.134,1.228,2.452,9.018
66,E00023622,114.255,63.604,77.946,77.178,70.387,147.341,0.638,0.355,0.435,0.431,0.393,0.823,0.075,0.069,0.093,0.088,0.07,0.082,3.075,20.748,11.545,14.146,14.016,12.78,26.764,201.494,112.168,137.461,136.107,124.131,259.842,971.203,1.125,0.626,0.768,0.76,0.693,1.451,5.424
67,E00023632,194.088,114.183,117.877,120.085,150.765,228.779,1.384,0.814,0.84,0.856,1.075,1.631,0.163,0.158,0.179,0.175,0.191,0.162,6.6,20.97,12.333,12.727,12.97,16.288,24.712,342.283,201.367,207.881,211.775,265.881,403.462,1632.649,2.441,1.436,1.482,1.51,1.896,2.877,11.641
