,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
680,E00023901,58.226,7.001,4.434,8.985,5.484,15.869,58.226,7.001,4.434,8.985,5.484,15.869
681,E00023762,47.256,7.904,10.676,15.34,11.276,7.548,47.256,7.904,10.676,15.34,11.276,7.548
682,E00023852,45.473,20.499,12.383,6.556,10.094,4.995,45.473,20.499,12.383,6.556,10.094,4.995
683,E00024109,57.548,5.508,12.494,8.048,10.76,5.642,57.548,5.508,12.494,8.048,10.76,5.642
684,E00023682,65.127,9.007,7.898,4.342,7.298,6.328,65.127,9.007,7.898,4.342,7.298,6.328
685,E00023497,55.214,8.658,8.924,8.201,10.245,8.758,55.214,8.658,8.924,8.201,10.245,8.758
686,E00023416,62.636,9.329,5.245,9.26,5.222,8.308,62.636,9.329,5.245,9.26,5.222,8.308
687,E00023474,49.302,7.563,8.878,14.911,11.672,7.675,49.302,7.563,8.878,14.911,11.672,7.675
688,E00023515,46.848,9.858,15.191,9.367,12.537,6.198,46.848,9.858,15.191,9.367,12.537,6.198
689,E00023491,56.282,8.104,9.683,6.267,11.779,7.884,56.282,8.104,9.683,6.267,11.779,7.884
690,E00023707,44.112,17.241,10.085,7.092,12.687,8.783,44.112,17.241,10.085,7.092,12.687,8.783
691,E00023786,46.359,20.19,6.191,10.236,8.688,8.336,46.359,20.19,6.191,10.236,8.688,8.336
692,E00175210,51.017,10.818,6.837,12.203,10.212,8.914,51.017,10.818,6.837,12.203,10.212,8.914
693,E00023857,43.607,21.66,13.359,6.679,10.592,4.103,43.607,21.66,13.359,6.679,10.592,4.103
694,E00175241,51.154,5.704,12.523,9.93,15.258,5.432,51.154,5.704,12.523,9.93,15.258,5.432
695,E00023818,60.332,10.711,9.335,7.034,7.586,5.002,60.332,10.711,9.335,7.034,7.586,5.002
696,E00023899,51.105,8.253,12.547,8.212,13.005,6.878,51.105,8.253,12.547,8.212,13.005,6.878
697,E00023595,49.896,9.681,9.681,12.387,10.271,8.085,49.896,9.681,9.681,12.387,10.271,8.085
698,E00023514,47.718,13.103,8.801,11.625,11.06,7.692,47.718,13.103,8.801,11.625,11.06,7.692
699,E00023472,38.155,7.645,14.983,21.071,11.963,6.182,38.155,7.645,14.983,21.071,11.963,6.182
