,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
268,E00024001,59.109,7.803,7.569,8.205,11.487,5.827,59.109,7.803,7.569,8.205,11.487,5.827
269,E00023990,51.708,7.107,9.256,13.361,12.893,5.675,51.708,7.107,9.256,13.361,12.893,5.675
270,E00175251,52.787,11.812,9.522,10.219,10.119,5.541,52.787,11.812,9.522,10.219,10.119,5.541
271,E00023971,57.432,8.825,7.951,11.257,8.88,5.656,57.432,8.825,7.951,11.257,8.88,5.656
272,E00175229,61.162,7.489,6.634,8.941,9.823,5.951,61.162,7.489,6.634,8.941,9.823,5.951
273,E00023911,55.39,7.913,8.125,12.321,9.187,7.063,55.39,7.913,8.125,12.321,9.187,7.063
274,E00023737,51.361,6.914,9.733,10.389,15.589,6.015,51.361,6.914,9.733,10.389,15.589,6.015
275,E00175276,57.385,8.248,5.957,11.949,10.116,6.345,57.385,8.248,5.957,11.949,10.116,6.345
276,E00023644,53.568,8.133,7.9,10.788,13.145,6.465,53.568,8.133,7.9,10.788,13.145,6.465
277,E00023866,60.246,7.77,6.572,11.039,8.741,5.633,60.246,7.77,6.572,11.039,8.741,5.633
278,E00023981,55.466,7.143,10.058,7.799,14.213,5.321,55.466,7.143,10.058,7.799,14.213,5.321
279,E00175218,56.82,6.664,8.151,12.484,9.693,6.187,56.82,6.664,8.151,12.484,9.693,6.187
280,E00175260,66.043,13.613,3.59,7.629,3.366,5.759,66.043,13.613,3.59,7.629,3.366,5.759
281,E00023917,59.919,10.833,8.057,7.921,6.635,6.635,59.919,10.833,8.057,7.921,6.635,6.635
282,E00023523,59.027,7.906,6.588,10.569,10.107,5.803,59.027,7.906,6.588,10.569,10.107,5.803
283,E00175253,60.577,7.519,6.489,8.891,10.806,5.718,60.577,7.519,6.489,8.891,10.806,5.718
284,E00023766,54.048,12.582,8.862,5.908,12.144,6.455,54.048,12.582,8.862,5.908,12.144,6.455
285,E00023675,56.287,16.277,8.431,5.994,7.7,5.312,56.287,16.277,8.431,5.994,7.7,5.312
286,E00024019,63.023,9.345,5.336,5.769,10.528,5.999,63.023,9.345,5.336,5.769,10.528,5.999
287,E00175183,56.456,8.491,7.342,12.775,8.783,6.154,56.456,8.491,7.342,12.775,8.783,6.154
288,E00023550,54.493,19.931,5.876,4.954,9.217,5.53,54.493,19.931,5.876,4.954,9.217,5.53
289,E00023679,53.249,19.651,9.297,4.596,8.505,4.702,53.249,19.651,9.297,4.596,8.505,4.702
290,E00023790,55.812,11.832,6.702,6.283,12.565,6.806,55.812,11.832,6.702,6.283,12.565,6.806
291,E00023711,52.076,7.932,7.164,13.497,13.331,6.001,52.076,7.932,7.164,13.497,13.331,6.001
292,E00023574,51.742,7.823,7.339,19.186,8.135,5.774,51.742,7.823,7.339,19.186,8.135,5.774
293,E00023552,54.284,11.306,6.819,10.991,10.812,5.787,54.284,11.306,6.819,10.991,10.812,5.787
294,E00024122,61.848,9.713,5.692,9.765,8.064,4.919,61.848,9.713,5.692,9.765,8.064,4.919
295,E00023562,46.306,8.516,9.943,22.589,7.154,5.493,46.306,8.516,9.943,22.589,7.154,5.493
296,E00023771,51.213,5.877,8.396,15.112,14.086,5.317,51.213,5.877,8.396,15.112,14.086,5.317
297,E00023724,51.417,8.024,7.944,12.335,14.511,5.768,51.417,8.024,7.944,12.335,14.511,5.768
298,E00023941,61.507,7.592,6.854,9.749,9.129,5.17,61.507,7.592,6.854,9.749,9.129,5.17
299,E00023482,49.46,7.691,8.051,15.173,14.094,5.531,49.46,7.691,8.051,15.173,14.094,5.531
300,E00023428,71.41,5.998,4.904,6.961,5.56,5.166,71.41,5.998,4.904,6.961,5.56,5.166
301,E00023758,58.375,7.872,9.887,8.375,9.95,5.542,58.375,7.872,9.887,8.375,9.95,5.542
302,E00024078,47.736,15.975,7.17,10.943,10.881,7.296,47.736,15.975,7.17,10.943,10.881,7.296
303,E00023782,62.618,8.096,5.082,8.958,8.183,7.063,62.618,8.096,5.082,8.958,8.183,7.063
304,E00023959,49.352,5.538,10.34,15.51,14.529,4.732,49.352,5.538,10.34,15.51,14.529,4.732
305,E00023703,48.473,6.914,10.255,12.253,16.324,5.781,48.473,6.914,10.255,12.253,16.324,5.781
306,E00023773,55.56,6.434,6.062,12.57,12.57,6.806,55.56,6.434,6.062,12.57,12.57,6.806
307,E00175271,49.694,10.035,7.506,20.894,6.841,5.031,49.694,10.035,7.506,20.894,6.841,5.031
308,E00175200,58.289,7.061,5.679,12.529,10.457,5.986,58.289,7.061,5.679,12.529,10.457,5.986
309,E00175239,61.04,6.464,6.313,9.661,11.006,5.517,61.04,6.464,6.313,9.661,11.006,5.517
310,E00023698,50.601,6.485,9.997,10.937,15.912,6.069,50.601,6.485,9.997,10.937,15.912,6.069
311,E00175226,58.693,9.162,10.944,6.879,8.412,5.91,58.693,9.162,10.944,6.879,8.412,5.91
312,E00023942,59.639,6.799,7.694,11.377,9.535,4.957,59.639,6.799,7.694,11.377,9.535,4.957
313,E00023949,59.426,9.343,5.81,9.607,10.201,5.612,59.426,9.343,5.81,9.607,10.201,5.612
314,E00023977,54.497,6.61,12.99,6.995,12.836,6.072,54.497,6.61,12.99,6.995,12.836,6.072
315,E00023725,54.279,8.799,8.799,10.004,12.455,5.665,54.279,8.799,8.799,10.004,12.455,5.665
316,E00023739,54.0,10.746,8.136,7.39,13.695,6.034,54.0,10.746,8.136,7.39,13.695,6.034
317,E00023918,56.829,6.194,6.658,12.821,10.746,6.751,56.829,6.194,6.658,12.821,10.746,6.751
318,E00023451,46.943,15.965,7.88,13.383,9.918,5.91,46.943,15.965,7.88,13.383,9.918,5.91
319,E00023556,53.293,22.561,6.098,5.244,6.951,5.854,53.293,22.561,6.098,5.244,6.951,5.854
320,E00023999,53.692,10.478,7.845,9.202,13.056,5.727,53.692,10.478,7.845,9.202,13.056,5.727
321,E00023953,59.176,9.893,5.713,9.156,10.569,5.494,59.176,9.893,5.713,9.156,10.569,5.494
322,E00023619,58.792,7.512,7.349,10.506,10.316,5.525,58.792,7.512,7.349,10.506,10.316,5.525
323,E00023925,58.526,13.971,5.941,8.471,7.041,6.051,58.526,13.971,5.941,8.471,7.041,6.051
324,E00175191,57.002,6.354,6.886,15.521,9.532,4.705,57.002,6.354,6.886,15.521,9.532,4.705
325,E00023794,56.675,7.139,6.161,13.741,10.073,6.21,56.675,7.139,6.161,13.741,10.073,6.21
326,E00023627,54.725,8.537,7.257,11.227,11.733,6.521,54.725,8.537,7.257,11.227,11.733,6.521
327,E00024080,56.265,10.226,6.817,11.954,8.593,6.145,56.265,10.226,6.817,11.954,8.593,6.145
328,E00024038,58.615,8.578,7.222,8.43,8.923,8.233,58.615,8.578,7.222,8.43,8.923,8.233
329,E00175264,53.133,10.183,8.747,9.138,12.206,6.593,53.133,10.183,8.747,9.138,12.206,6.593
330,E00024067,59.338,9.752,7.161,7.413,8.528,7.809,59.338,9.752,7.161,7.413,8.528,7.809
331,E00024088,53.219,15.342,5.207,10.294,8.466,7.472,53.219,15.342,5.207,10.294,8.466,7.472
332,E00024009,64.076,10.396,5.301,6.125,8.595,5.507,64.076,10.396,5.301,6.125,8.595,5.507
333,E00023886,59.106,7.692,5.034,12.387,9.926,5.854,59.106,7.692,5.034,12.387,9.926,5.854
334,E00023807,64.611,7.322,4.496,11.304,6.615,5.652,64.611,7.322,4.496,11.304,6.615,5.652
335,E00023569,50.862,8.108,7.577,21.254,6.63,5.569,50.862,8.108,7.577,21.254,6.63,5.569
336,E00023533,63.136,7.139,6.846,10.591,6.963,5.325,63.136,7.139,6.846,10.591,6.963,5.325
337,E00023602,58.928,11.393,5.266,10.675,7.324,6.415,58.928,11.393,5.266,10.675,7.324,6.415
338,E00023791,49.69,11.742,7.3,12.741,11.811,6.715,49.69,11.742,7.3,12.741,11.811,6.715
339,E00023710,51.644,8.706,6.416,15.416,11.607,6.212,51.644,8.706,6.416,15.416,11.607,6.212
340,E00175193,57.283,6.758,7.496,13.263,10.472,4.728,57.283,6.758,7.496,13.263,10.472,4.728
341,E00023696,52.657,9.716,8.545,10.475,12.947,5.66,52.657,9.716,8.545,10.475,12.947,5.66
