,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
649,E00023997,50.731,10.131,9.566,8.455,15.449,5.669,50.731,10.131,9.566,8.455,15.449,5.669
650,E00023900,63.409,5.608,8.603,4.982,12.415,4.982,63.409,5.608,8.603,4.982,12.415,4.982
651,E00023891,58.842,6.601,7.956,10.616,10.788,5.197,58.842,6.601,7.956,10.616,10.788,5.197
652,E00023810,58.986,8.352,6.637,11.037,9.321,5.667,58.986,8.352,6.637,11.037,9.321,5.667
653,E00023432,56.355,15.773,6.126,4.9,10.107,6.738,56.355,15.773,6.126,4.9,10.107,6.738
654,E00023844,59.532,6.382,7.573,10.802,10.885,4.826,59.532,6.382,7.573,10.802,10.885,4.826
655,E00023613,47.114,6.276,11.005,13.775,15.663,6.168,47.114,6.276,11.005,13.775,15.663,6.168
656,E00023692,60.174,6.796,9.166,5.571,12.801,5.492,60.174,6.796,9.166,5.571,12.801,5.492
657,E00023903,69.387,6.909,5.837,4.943,8.041,4.884,69.387,6.909,5.837,4.943,8.041,4.884
658,E00175236,50.877,7.1,8.132,16.182,11.517,6.192,50.877,7.1,8.132,16.182,11.517,6.192
659,E00023665,53.375,7.962,8.446,11.321,12.952,5.943,53.375,7.962,8.446,11.321,12.952,5.943
660,E00023869,49.506,13.473,7.388,13.591,9.759,6.282,49.506,13.473,7.388,13.591,9.759,6.282
