,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
152,E00023570,19.0,£601K - £700K,636428.571,607428.571,18025142.857
153,E00023571,15.0,£376K - £400K,358500.0,343333.333,11803833.333
154,E00023572,15.0,£376K - £400K,457733.333,389200.0,6911933.333
155,E00023573,16.0,£401K - £450K,475166.667,445166.667,15966666.667
156,E00023574,17.0,£451K - £500K,452500.0,437500.0,9403000.0
157,E00023575,18.0,£501K - £600K,668000.0,608222.222,15485444.444
158,E00023576,18.0,£501K - £600K,556250.0,511125.0,14118875.0
159,E00023577,18.0,£501K - £600K,728400.0,662200.0,32602200.0
160,E00023578,18.0,£501K - £600K,547500.0,490100.0,10374200.0
161,E00023579,13.0,£326K - £350K,366888.889,358111.111,10727555.556
162,E00023580,11.0,£276K - £300K,321200.0,306800.0,10691600.0
163,E00023581,10.0,£251K - £275K,365600.0,343600.0,16153000.0
164,E00023585,19.0,£601K - £700K,599571.429,576142.857,11252571.429
165,E00023586,23.0,£1m - £1.25m,895833.333,830833.333,33520500.0
166,E00023587,18.0,£501K - £600K,602000.0,503000.0,44433333.333
167,E00023588,21.0,£1m - £1.25m,957500.0,813500.0,72444000.0
168,E00023589,17.0,£451K - £500K,600000.0,582250.0,25667750.0
169,E00023590,17.0,£451K - £500K,658500.0,616500.0,29716250.0
170,E00023591,18.0,£1m - £1.25m,805600.0,785800.0,28545800.0
171,E00023592,18.0,£501K - £600K,654000.0,624400.0,24260000.0
172,E00023593,18.0,£501K - £600K,714000.0,664333.333,46588000.0
173,E00023595,17.0,£1m - £1.25m,742285.714,673571.429,22176714.286
174,E00023596,20.0,£701k - £800K,735000.0,701000.0,41680000.0
175,E00023597,16.0,£401K - £450K,645800.0,608200.0,19262600.0
176,E00023598,20.0,£1m - £1.25m,851000.0,813333.333,52945666.667
177,E00023599,19.0,£601K - £700K,752666.667,696666.667,34052666.667
178,E00023600,21.0,£800K - £900K,871000.0,837500.0,57097000.0
179,E00023601,23.0,£1m - £1.25m,1025285.714,983285.714,29502857.143
180,E00023602,22.0,£900K - £1m,813333.333,737333.333,36500333.333
181,E00023603,19.0,£601K - £700K,742600.0,689800.0,31421600.0
182,E00023604,17.0,£451K - £500K,458333.333,411333.333,16842333.333
183,E00023605,21.0,£800K - £900K,903500.0,807500.0,26231000.0
184,E00023606,16.0,£401K - £450K,468833.333,428666.667,18660166.667
185,E00023608,20.0,£701k - £800K,872666.667,741000.0,34293333.333
186,E00023609,18.0,£501K - £600K,704000.0,669500.0,24317000.0
187,E00023610,14.0,£1m - £1.25m,610000.0,546000.0,16731500.0
188,E00023611,19.0,£601K - £700K,657500.0,595000.0,41034500.0
189,E00023612,16.0,£401K - £450K,633111.111,592888.889,12416333.333
190,E00023613,16.0,£401K - £450K,500500.0,464000.0,37316500.0
191,E00023614,20.0,£701k - £800K,907857.143,857857.143,20585285.714
192,E00023615,18.0,£501K - £600K,547800.0,517000.0,21284600.0
193,E00023616,18.0,£501K - £600K,625500.0,563500.0,52437000.0
194,E00023617,18.0,£501K - £600K,484692.308,442923.077,14232461.538
195,E00023618,23.0,£1m - £1.25m,779200.0,641900.0,17667900.0
196,E00023619,17.0,£1.25m - £1.5m,972666.667,874111.111,43164333.333
197,E00023620,25.0,£1.5m - £2m,1565800.0,1079200.0,50674600.0
198,E00023621,17.0,£1m - £1.25m,812000.0,744500.0,33862000.0
199,E00023622,29.0,£5m+,4556153.846,2389461.538,36095923.077
200,E00023623,26.0,£2m - £3m,3221250.0,1733833.333,40362000.0
201,E00023624,19.0,£601K - £700K,880142.857,771714.286,12306571.429
202,E00023625,25.0,£1.5m - £2m,2375615.385,1723230.769,22988307.692
203,E00023626,18.0,£1.25m - £1.5m,882250.0,725500.0,31040500.0
204,E00023627,25.0,£1.5m - £2m,1152800.0,856000.0,11828800.0
205,E00023628,23.0,£1m - £1.25m,1037666.667,872333.333,41575333.333
206,E00023629,26.0,£2m - £3m,1502000.0,1192375.0,24472750.0
207,E00023630,20.0,£701k - £800K,757333.333,691666.667,43503333.333
208,E00023631,25.0,£1.5m - £2m,1508250.0,1154500.0,25425750.0
209,E00023632,26.0,£2m - £3m,2423166.667,1762833.333,36722000.0
210,E00023633,26.0,£2m - £3m,2469900.0,1545900.0,25700100.0
211,E00023634,28.0,£4m - £5m,3962000.0,2875333.333,35626666.667
212,E00023635,21.0,£800K - £900K,848666.667,779000.0,42224000.0
213,E00023636,23.0,£1m - £1.25m,1357625.0,1091000.0,30350625.0
214,E00023637,26.0,£2m - £3m,2497153.846,1707692.308,26187230.769
215,E00023638,19.0,£601K - £700K,834000.0,749000.0,42335000.0
216,E00023639,25.0,£1.5m - £2m,1452333.333,1149333.333,40064666.667
217,E00023640,26.0,£2m - £3m,3260714.286,1760571.429,55258714.286
218,E00023641,26.0,£2m - £3m,2432125.0,1821375.0,28404625.0
219,E00023643,21.0,£1.25m - £1.5m,1077333.333,973666.667,46042666.667
220,E00023644,23.0,£1m - £1.25m,746142.857,579285.714,12504000.0
221,E00023646,21.0,£800K - £900K,873500.0,769000.0,18317750.0
222,E00023647,25.0,£1.5m - £2m,2182300.0,1225000.0,28964800.0
223,E00023648,19.0,£601K - £700K,982600.0,833500.0,16669800.0
224,E00023649,21.0,£1.25m - £1.5m,986090.909,737272.727,7668636.364
225,E00023650,20.0,£1.25m - £1.5m,1060750.0,885500.0,21234000.0
226,E00023651,23.0,£1m - £1.25m,2021166.667,1556166.667,53925666.667
227,E00023652,26.0,£2m - £3m,2425250.0,1466000.0,32657750.0
228,E00023653,19.0,£601K - £700K,623000.0,578000.0,98434000.0
229,E00023655,21.0,£1m - £1.25m,1015000.0,883000.0,29627000.0
230,E00023656,19.0,£601K - £700K,1029833.333,879666.667,24592333.333
231,E00023657,29.0,£5m+,4607666.667,2661133.333,40574000.0
232,E00023658,29.0,£5m+,6182750.0,3091416.667,76821583.333
233,E00023659,29.0,£5m+,7686142.857,3843000.0,90727428.571
234,E00023660,29.0,£5m+,9152083.333,4576000.0,67931166.667
