,OA,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[shared_scale] - [per_effective_area_square_meter] - worker_count,[shared_scale] - [per_effective_area_square_meter] - student_count,[shared_scale] - [per_effective_area_square_meter] - tourist_count,[shared_scale] - [per_effective_area_square_meter] - shopper_count,[shared_scale] - [per_effective_area_square_meter] - leisurer_count,[shared_scale] - [per_effective_area_square_meter] - chorer_count,[shared_scale] - [per_effective_area_square_meter] - resident_count
680,E00023901,0.853,0.102,0.065,0.131,0.08,0.232,4.262,1.463,5.725,0.853,0.102,0.065,0.131,0.08,0.232,4.262
681,E00023762,4.31,0.72,0.973,1.398,1.028,0.689,2.329,9.118,11.447,4.31,0.72,0.973,1.398,1.028,0.689,2.329
682,E00023852,0.747,0.336,0.203,0.107,0.166,0.081,3.08,1.64,4.72,0.747,0.336,0.203,0.107,0.166,0.081,3.08
683,E00024109,8.048,0.77,1.746,1.125,1.505,0.79,1.989,13.984,15.973,8.048,0.77,1.746,1.125,1.505,0.79,1.989
684,E00023682,2.409,0.332,0.292,0.16,0.27,0.234,1.373,3.697,5.07,2.409,0.332,0.292,0.16,0.27,0.234,1.373
685,E00023497,11.349,1.779,1.835,1.685,2.105,1.8,2.267,20.553,22.82,11.349,1.779,1.835,1.685,2.105,1.8,2.267
686,E00023416,4.609,0.687,0.387,0.682,0.384,0.612,8.332,7.361,15.693,4.609,0.687,0.387,0.682,0.384,0.612,8.332
687,E00023474,11.333,1.739,2.04,3.428,2.684,1.765,4.923,22.989,27.912,11.333,1.739,2.04,3.428,2.684,1.765,4.923
688,E00023515,6.842,1.44,2.219,1.368,1.831,0.905,2.159,14.605,16.764,6.842,1.44,2.219,1.368,1.831,0.905,2.159
689,E00023491,10.046,1.446,1.729,1.119,2.102,1.408,2.807,17.85,20.657,10.046,1.446,1.729,1.119,2.102,1.408,2.807
690,E00023707,1.158,0.452,0.265,0.186,0.332,0.231,2.611,2.624,5.235,1.158,0.452,0.265,0.186,0.332,0.231,2.611
691,E00023786,2.251,0.981,0.301,0.498,0.422,0.404,2.477,4.857,7.334,2.251,0.981,0.301,0.498,0.422,0.404,2.477
692,E00175210,2.013,0.427,0.271,0.482,0.403,0.352,3.64,3.948,7.588,2.013,0.427,0.271,0.482,0.403,0.352,3.64
693,E00023857,0.78,0.387,0.24,0.12,0.19,0.073,2.771,1.79,4.561,0.78,0.387,0.24,0.12,0.19,0.073,2.771
694,E00175241,6.739,0.752,1.65,1.308,2.01,0.716,1.682,13.175,14.857,6.739,0.752,1.65,1.308,2.01,0.716,1.682
695,E00023818,8.014,1.423,1.241,0.934,1.007,0.664,4.325,13.283,17.608,8.014,1.423,1.241,0.934,1.007,0.664,4.325
696,E00023899,2.093,0.338,0.515,0.337,0.533,0.282,1.218,4.098,5.316,2.093,0.338,0.515,0.337,0.533,0.282,1.218
697,E00023595,2.456,0.477,0.476,0.609,0.506,0.398,3.282,4.922,8.204,2.456,0.477,0.476,0.609,0.506,0.398,3.282
698,E00023514,3.751,1.029,0.692,0.913,0.869,0.605,2.987,7.859,10.846,3.751,1.029,0.692,0.913,0.869,0.605,2.987
699,E00023472,2.762,0.554,1.085,1.526,0.866,0.447,2.215,7.24,9.455,2.762,0.554,1.085,1.526,0.866,0.447,2.215
700,E00023865,4.08,1.225,0.97,1.326,0.841,0.678,2.787,9.12,11.907,4.08,1.225,0.97,1.326,0.841,0.678,2.787
701,E00023697,3.772,0.702,1.356,0.707,1.761,0.438,2.139,8.736,10.875,3.772,0.702,1.356,0.707,1.761,0.438,2.139
702,E00024134,9.438,0.852,3.933,2.796,3.964,0.802,2.397,21.785,24.182,9.438,0.852,3.933,2.796,3.964,0.802,2.397
703,E00023616,2.885,1.525,0.469,0.643,0.558,0.599,3.427,6.679,10.106,2.885,1.525,0.469,0.643,0.558,0.599,3.427
704,E00024036,3.679,1.032,1.228,0.703,1.371,0.532,2.961,8.545,11.506,3.679,1.032,1.228,0.703,1.371,0.532,2.961
705,E00024052,6.7,0.629,1.849,1.605,2.093,0.756,3.145,13.632,16.777,6.7,0.629,1.849,1.605,2.093,0.756,3.145
706,E00175194,9.629,1.456,3.211,2.988,3.128,0.94,1.14,21.352,22.492,9.629,1.456,3.211,2.988,3.128,0.94,1.14
707,E00023856,1.346,0.879,0.124,0.261,0.137,0.327,3.901,3.074,6.975,1.346,0.879,0.124,0.261,0.137,0.327,3.901
708,E00023947,5.698,1.159,1.368,0.658,1.09,0.71,2.45,10.683,13.133,5.698,1.159,1.368,0.658,1.09,0.71,2.45
709,E00024048,7.441,0.998,1.602,1.48,1.636,0.685,1.363,13.842,15.205,7.441,0.998,1.602,1.48,1.636,0.685,1.363
710,E00175209,6.22,1.06,1.632,1.637,1.624,0.928,0.607,13.101,13.708,6.22,1.06,1.632,1.637,1.624,0.928,0.607
711,E00023489,8.984,1.28,1.437,1.199,1.82,1.13,3.738,15.85,19.588,8.984,1.28,1.437,1.199,1.82,1.13,3.738
712,E00023603,2.067,0.597,0.36,0.403,0.385,0.316,3.906,4.128,8.034,2.067,0.597,0.36,0.403,0.385,0.316,3.906
713,E00023656,7.519,0.884,1.753,1.382,1.78,1.087,3.325,14.405,17.73,7.519,0.884,1.753,1.382,1.78,1.087,3.325
714,E00024046,3.569,1.163,0.803,0.781,0.877,0.608,3.259,7.801,11.06,3.569,1.163,0.803,0.781,0.877,0.608,3.259
715,E00023468,2.639,0.668,1.069,1.012,0.961,0.372,2.72,6.721,9.441,2.639,0.668,1.069,1.012,0.961,0.372,2.72
716,E00023718,3.491,1.086,1.117,0.693,1.329,0.486,2.954,8.202,11.156,3.491,1.086,1.117,0.693,1.329,0.486,2.954
717,E00023799,2.197,0.215,0.306,0.527,0.384,0.254,2.719,3.883,6.602,2.197,0.215,0.306,0.527,0.384,0.254,2.719
718,E00023822,7.739,1.217,1.739,1.348,1.712,0.901,2.148,14.656,16.804,7.739,1.217,1.739,1.348,1.712,0.901,2.148
719,E00023610,3.029,0.488,0.683,0.558,0.685,0.388,2.427,5.831,8.258,3.029,0.488,0.683,0.558,0.685,0.388,2.427
720,E00023691,3.52,0.692,0.849,0.357,0.833,0.667,0.995,6.918,7.913,3.52,0.692,0.849,0.357,0.833,0.667,0.995
721,E00024045,3.105,1.279,0.861,0.822,1.059,0.442,2.671,7.568,10.239,3.105,1.279,0.861,0.822,1.059,0.442,2.671
722,E00023834,9.337,0.891,1.998,2.468,2.14,0.92,1.853,17.754,19.607,9.337,0.891,1.998,2.468,2.14,0.92,1.853
723,E00023612,3.548,0.563,1.008,1.009,1.093,0.468,2.681,7.689,10.37,3.548,0.563,1.008,1.009,1.093,0.468,2.681
724,E00023817,8.142,1.175,1.049,0.731,1.051,0.688,1.522,12.836,14.358,8.142,1.175,1.049,0.731,1.051,0.688,1.522
725,E00023896,1.097,0.094,0.125,0.172,0.145,0.114,2.575,1.747,4.322,1.097,0.094,0.125,0.172,0.145,0.114,2.575
726,E00023434,2.164,0.404,0.799,0.431,0.67,0.273,3.021,4.741,7.762,2.164,0.404,0.799,0.431,0.67,0.273,3.021
727,E00175201,3.711,0.536,0.738,0.981,0.743,0.658,3.623,7.367,10.99,3.711,0.536,0.738,0.981,0.743,0.658,3.623
728,E00023944,6.245,1.199,0.777,0.614,0.76,0.592,2.799,10.187,12.986,6.245,1.199,0.777,0.614,0.76,0.592,2.799
