,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
110,E00024096,17.474,14.373,15.754,15.912,17.497,18.99,17.474,14.373,15.754,15.912,17.497,18.99
111,E00024017,17.522,16.043,14.93,14.912,15.817,20.776,17.522,16.043,14.93,14.912,15.817,20.776
112,E00023694,15.638,18.074,17.237,13.871,18.167,17.014,15.638,18.074,17.237,13.871,18.167,17.014
113,E00023884,18.952,17.945,17.081,13.733,15.029,17.261,18.952,17.945,17.081,13.733,15.029,17.261
114,E00023805,18.794,15.008,13.166,16.08,14.037,22.915,18.794,15.008,13.166,16.08,14.037,22.915
115,E00023615,16.489,21.435,13.618,15.359,13.435,19.664,16.489,21.435,13.618,15.359,13.435,19.664
116,E00024008,18.76,18.575,15.112,13.62,14.266,19.668,18.76,18.575,15.112,13.62,14.266,19.668
117,E00024089,18.396,16.832,14.791,16.448,14.274,19.258,18.396,16.832,14.791,16.448,14.274,19.258
118,E00023625,16.927,13.312,16.879,17.659,17.293,17.93,16.927,13.312,16.879,17.659,17.293,17.93
119,E00023502,19.011,15.134,14.93,15.158,15.59,20.176,19.011,15.134,14.93,15.158,15.59,20.176
120,E00023505,19.812,15.96,14.183,15.17,15.269,19.605,19.812,15.96,14.183,15.17,15.269,19.605
121,E00024024,20.556,16.193,15.871,13.792,16.105,17.482,20.556,16.193,15.871,13.792,16.105,17.482
122,E00023954,17.944,18.59,14.733,13.571,14.781,20.381,17.944,18.59,14.733,13.571,14.781,20.381
123,E00175206,17.449,14.382,17.15,18.224,15.877,16.918,17.449,14.382,17.15,18.224,15.877,16.918
124,E00023833,17.735,15.014,14.645,18.191,15.102,19.313,17.735,15.014,14.645,18.191,15.102,19.313
125,E00023801,18.963,15.929,13.906,15.329,14.602,21.271,18.963,15.929,13.906,15.329,14.602,21.271
126,E00023880,16.868,20.461,11.48,15.111,12.729,23.35,16.868,20.461,11.48,15.111,12.729,23.35
127,E00023719,15.592,16.72,16.483,15.509,16.661,19.036,15.592,16.72,16.483,15.509,16.661,19.036
128,E00023798,18.35,14.304,13.676,17.064,13.551,23.055,18.35,14.304,13.676,17.064,13.551,23.055
129,E00023492,21.873,14.567,14.881,12.599,14.234,21.846,21.873,14.567,14.881,12.599,14.234,21.846
130,E00175184,17.8,16.857,15.394,14.633,16.266,19.049,17.8,16.857,15.394,14.633,16.266,19.049
131,E00024020,17.847,16.245,15.988,14.739,14.867,20.314,17.847,16.245,15.988,14.739,14.867,20.314
132,E00023717,18.073,16.311,18.102,11.566,17.619,18.329,18.073,16.311,18.102,11.566,17.619,18.329
133,E00175207,20.941,15.039,14.313,17.537,13.844,18.326,20.941,15.039,14.313,17.537,13.844,18.326
134,E00023741,18.169,18.89,16.373,12.524,15.523,18.521,18.169,18.89,16.373,12.524,15.523,18.521
135,E00023796,19.033,15.901,13.245,14.879,14.198,22.744,19.033,15.901,13.245,14.879,14.198,22.744
136,E00023588,18.125,20.59,12.292,16.146,13.333,19.514,18.125,20.59,12.292,16.146,13.333,19.514
137,E00023473,16.831,14.871,14.138,16.925,14.931,22.303,16.831,14.871,14.138,16.925,14.931,22.303
138,E00023814,18.995,17.171,14.577,14.695,15.08,19.483,18.995,17.171,14.577,14.695,15.08,19.483
139,E00023641,16.736,14.328,21.938,12.396,18.995,15.606,16.736,14.328,21.938,12.396,18.995,15.606
140,E00175240,18.327,15.129,15.509,15.496,16.341,19.198,18.327,15.129,15.509,15.496,16.341,19.198
141,E00023587,16.374,24.053,12.447,14.797,13.008,19.32,16.374,24.053,12.447,14.797,13.008,19.32
142,E00023895,21.126,14.742,16.077,16.367,13.117,18.572,21.126,14.742,16.077,16.367,13.117,18.572
143,E00175203,17.013,14.56,18.05,13.459,17.516,19.403,17.013,14.56,18.05,13.459,17.516,19.403
144,E00023950,20.138,16.04,15.089,15.146,15.042,18.546,20.138,16.04,15.089,15.146,15.042,18.546
145,E00023779,19.569,17.952,13.143,15.257,13.143,20.937,19.569,17.952,13.143,15.257,13.143,20.937
146,E00023721,17.289,15.984,14.806,15.262,15.644,21.015,17.289,15.984,14.806,15.262,15.644,21.015
147,E00024011,17.756,16.69,15.072,13.472,15.588,21.421,17.756,16.69,15.072,13.472,15.588,21.421
148,E00023643,18.104,15.372,16.636,16.555,15.698,17.635,18.104,15.372,16.636,16.555,15.698,17.635
149,E00024012,18.361,14.452,15.035,15.567,15.498,21.087,18.361,14.452,15.035,15.567,15.498,21.087
150,E00023701,17.628,14.695,15.62,15.186,20.161,16.709,17.628,14.695,15.62,15.186,20.161,16.709
151,E00023780,18.059,18.749,13.562,15.965,12.705,20.961,18.059,18.749,13.562,15.965,12.705,20.961
152,E00023427,17.961,23.883,15.049,13.398,11.068,18.641,17.961,23.883,15.049,13.398,11.068,18.641
153,E00023483,19.137,15.789,15.189,15.605,15.374,18.906,19.137,15.789,15.189,15.605,15.374,18.906
154,E00023772,14.738,12.826,16.452,17.277,20.046,18.661,14.738,12.826,16.452,17.277,20.046,18.661
155,E00023578,20.215,17.015,14.58,13.909,14.424,19.856,20.215,17.015,14.58,13.909,14.424,19.856
156,E00024029,15.169,17.266,19.288,15.543,18.577,14.157,15.169,17.266,19.288,15.543,18.577,14.157
157,E00023546,20.224,15.74,13.453,12.735,11.749,26.099,20.224,15.74,13.453,12.735,11.749,26.099
158,E00024097,16.911,22.258,13.952,14.996,13.827,18.055,16.911,22.258,13.952,14.996,13.827,18.055
159,E00024016,17.336,16.384,16.549,14.522,16.322,18.887,17.336,16.384,16.549,14.522,16.322,18.887
160,E00175224,17.771,21.456,13.419,13.437,13.708,20.209,17.771,21.456,13.419,13.437,13.708,20.209
161,E00024005,19.635,15.625,14.943,15.405,15.613,18.78,19.635,15.625,14.943,15.405,15.613,18.78
